ID,TARGET
2,0.15
5,0.0
6,0.0
7,0.0
9,0.0
11,0.1
12,0.1
15,0.03
16,0.05
17,0.0
19,0.0
21,0.0
22,0.01
24,0.0
27,0.0
28,0.07
30,0.12
33,0.0
35,0.01
37,0.03
38,0.0
40,0.09284112196936933
41,0.0
44,0.0
46,0.05
47,0.01
48,0.0
50,0.0
52,0.184
53,0.0
55,0.0
57,0.0
58,0.06
59,0.0
62,0.04
63,0.0
64,0.0
65,0.0
67,0.0
69,0.03
70,0.0
71,0.21
72,0.01
73,0.0
76,0.0
78,0.0
79,0.0
81,0.03
85,0.0
86,0.0
89,0.04
94,0.0
96,0.0
97,0.06
98,0.0
99,0.0
100,0.03
103,0.04
104,0.01
108,0.01
110,0.0
112,0.0
114,0.0834529751741547
116,0.01
117,0.06
119,0.0
120,0.0
121,0.0
123,0.02
124,0.0
126,0.0
128,0.0
129,0.05
133,0.04
138,0.0
147,0.0
149,0.05
158,0.0
160,0.0
164,0.06
167,0.02
168,0.03
174,0.0
181,0.07
185,0.0
187,0.0
189,0.03
190,0.05
194,0.0
197,0.17
198,0.0
201,0.11
205,0.0
208,0.16
211,0.0
216,0.0
219,0.03
223,0.01
224,0.0
226,0.0
229,0.0
230,0.02
237,0.0
238,0.0
240,0.01
243,0.0
245,0.03
246,0.71
247,0.02
248,0.01
249,0.0
250,0.57
251,0.0
255,0.17
256,0.01
257,0.11
260,0.01
261,0.01
263,0.19
264,0.3094629719008022
267,0.0
268,0.01
272,0.01
274,0.0
275,0.0
277,0.84
278,0.32
280,0.0
281,0.06
282,0.08
283,0.0
284,0.1
286,0.0013152307064107798
290,0.0
291,0.01
293,0.0
295,0.06
297,0.0
298,0.04
300,0.0
304,0.0
305,0.0
308,0.03
309,0.0
310,0.0
312,0.0
313,0.06560606060606061
315,0.01
317,0.0
318,0.0
321,0.0
323,0.06
325,0.01
326,0.0
327,0.0
328,0.06
329,0.0
330,0.0
331,0.01
334,0.01
335,0.01
336,0.05
337,0.09
338,0.008666666666666666
339,0.0
341,0.3
343,0.01
346,0.0
348,0.0
350,0.25
351,0.0
352,0.024467795459348657
357,0.06
358,0.0
360,0.0
361,0.0
364,0.04
365,0.07
366,0.0
367,0.0
368,0.02
370,0.0
372,0.0
376,0.0
377,0.02
379,0.05
380,0.0
381,0.0
385,0.0
386,0.0
389,0.0
391,0.02
392,0.0
393,0.0
395,0.02
396,0.03
397,0.0
398,0.01
399,0.06
400,0.01
401,0.04
403,0.01
405,0.06
406,0.0
409,0.0
411,0.02
413,0.0
418,0.0
419,0.0
422,0.024467795459348657
424,0.2
425,0.07
427,0.0
430,0.0
431,0.0
434,0.0
435,0.0
437,0.0
438,0.0
439,0.02
442,0.0
446,0.01
450,0.03
451,0.0
452,0.01
454,0.0
455,0.0
463,0.0
464,0.0
465,0.0
467,0.11878843579133645
468,0.12
470,0.0
472,0.28
473,0.0
475,0.0
476,0.0
479,0.0
481,0.0
483,0.0
484,0.04
486,0.02
487,0.0
491,0.0
494,0.01
495,0.02
497,0.06
498,0.0
499,0.0
503,0.03
504,0.02
505,0.0
506,0.02
507,0.01
508,0.0
509,0.0
510,0.02
511,0.0
512,0.04
516,0.0
518,0.01
519,0.01
520,0.0
521,0.0
522,0.0
524,0.018333333333333333
525,0.01
526,0.0
528,0.0
529,0.02
531,0.07
532,0.6
534,0.09
536,0.05
539,0.13
540,0.04
541,0.0
542,0.0
545,0.0
546,0.0
552,0.04
556,0.0
557,0.0
559,0.02
562,0.03
563,0.01
565,0.02
569,0.0
570,0.22
574,0.02
575,0.0
585,0.0
589,0.0
590,0.04
592,0.0
593,0.02
594,0.01
595,0.0
597,0.01
601,0.0
603,0.0
604,0.0
605,0.01
607,0.0
608,0.05
610,0.0
612,0.17
613,0.05
615,0.0
616,0.1
617,0.02
619,0.0
620,0.02929581937670173
621,0.0
624,0.03
625,0.07
628,0.0
629,0.0
630,0.059083333333333335
632,0.0
634,0.0
637,0.0
638,0.03
642,0.07
643,0.01
644,0.08
646,0.0
655,0.01
660,0.0
664,0.02
665,0.03
666,0.0
670,0.13
671,0.06
672,0.0
675,0.01
676,0.11
677,0.0
678,0.0
680,0.04
683,0.04
684,0.0
685,0.31
691,0.17
693,0.0
696,0.0
698,0.0
699,0.0
700,0.02
703,0.01
704,0.01
705,0.0
707,0.08
709,0.14
711,0.01
713,0.0
716,0.0
719,0.0
721,0.0
722,0.0
723,0.01
724,0.0
727,0.0
728,0.0
729,0.0
733,0.06
736,0.02
739,0.02
742,0.24
743,0.0
744,0.0
745,0.02
747,0.01
749,0.09
750,0.0
751,0.01
752,0.0
755,0.0
756,0.0
762,0.02
763,0.0
764,0.0
765,0.01
766,0.01
769,0.02
770,0.24
773,0.0
774,0.02
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.04
786,0.0
788,0.0
794,0.02
796,0.26
801,0.08
802,0.0
803,0.01
804,0.0
805,0.0
809,0.01
810,0.03
817,0.04
819,0.01
821,0.0
824,0.25
825,0.02
826,0.04
830,0.02
831,0.1
832,0.0
833,0.01
837,0.0
839,0.0
840,0.0
841,0.0
842,0.0
843,0.01
844,0.06
845,0.0
848,0.0
853,0.0
854,0.0
855,0.0
856,0.03
861,0.0
865,0.0
866,0.0
867,0.0
870,0.01
871,0.0
872,0.0
873,0.0
874,0.04
875,0.0
876,0.02
879,0.0
880,0.0
883,0.0
884,0.0
886,0.02
890,0.0
892,0.02
893,0.36
894,0.01
895,0.0
896,0.0
897,0.0
899,0.08
900,0.03
901,0.0
902,0.29
905,0.06
912,0.04
914,0.34
915,0.06
917,0.15
918,0.0
919,0.0
921,0.0
922,0.03
923,0.01
926,0.0
929,0.04
930,0.0
931,0.0
937,0.0
938,0.03
939,0.04
941,0.02
946,0.02
947,0.16
950,0.0
951,0.0
952,0.0
953,0.03
954,0.0
955,0.0
956,0.02
957,0.01
960,0.0
963,0.26
966,0.02
969,0.09
971,0.0
972,0.0
975,0.0
980,0.0
982,0.17
983,0.0
985,0.08
987,0.0
988,0.0
991,0.01
992,0.0
995,0.12
996,0.01
998,0.0
1001,0.01
1002,0.0
1004,0.0
1005,0.04
1010,0.0
1011,0.0
1012,0.0
1013,0.02
1014,0.01
1015,0.05
1016,0.0
1022,0.0
1023,0.01
1024,0.0
1025,0.0
1026,0.04
1028,0.0
1029,0.09
1032,0.03
1034,0.04
1036,0.0
1037,0.0
1039,0.14
1042,0.0
1045,0.0
1046,0.02
1050,0.0
1052,0.03
1055,0.0
1057,0.06
1058,0.0
1060,0.0
1062,0.0
1063,0.0
1064,0.01809188327607203
1065,0.01
1066,0.01
1067,0.10900396825396826
1068,0.1
1070,0.41
1072,0.0
1077,0.22
1078,0.0
1079,0.0
1081,0.02
1082,0.01
1093,0.0
1094,0.0
1102,0.01
1103,0.01
1106,0.03
1107,0.02
1112,0.02
1113,0.0
1114,0.01
1116,0.0
1118,0.02
1120,0.0
1121,0.0
1128,0.09
1130,0.01
1132,0.0
1135,0.01
1138,0.13
1139,0.0
1141,0.0
1143,0.21
1146,0.12
1148,0.024467795459348657
1149,0.01
1151,0.0
1152,0.04162343883371418
1153,0.0
1155,0.05
1157,0.0
1160,0.05
1161,0.03
1162,0.01
1164,0.09651603556947468
1168,0.01
1169,0.0
1174,0.19
1176,0.0
1177,0.12
1178,0.0
1180,0.04
1181,0.0
1182,0.15
1185,0.2170833333333333
1190,0.03
1194,0.0
1196,0.03
1199,0.0
1200,0.0
1201,0.0
1202,0.04
1206,0.23
1207,0.0
1208,0.0
1212,0.08
1216,0.0
1219,0.0
1221,0.01
1222,0.0
1225,0.0
1227,0.0
1230,0.05
1231,0.0
1232,0.0
1233,0.01
1234,0.0
1235,0.0
1236,0.5516666666666667
1237,0.0
1238,0.09
1239,0.32
1240,0.05
1241,0.0
1244,0.01
1245,0.03
1247,0.0
1250,0.01
1251,0.0
1257,0.0
1259,0.0
1266,0.06
1267,0.76
1268,0.0
1270,0.77
1272,0.0
1273,0.11
1276,0.04
1278,0.0
1279,0.07
1283,0.03
1284,0.0
1286,0.0
1289,0.01
1290,0.0
1292,0.0
1293,0.09
1294,0.28
1296,0.12
1298,0.0
1299,0.2
1301,0.01
1304,0.04
1306,0.0
1308,0.11
1310,0.01
1311,0.0
1312,0.04
1315,0.0
1318,0.02
1319,0.03
1320,0.02
1323,0.0
1324,0.03
1325,0.0
1326,0.0
1329,0.44
1331,0.12
1332,0.02
1335,0.0
1336,0.19
1338,0.03
1340,0.0630952380952381
1342,0.0
1345,0.01
1347,0.0
1349,0.0
1350,0.04
1351,0.0
1354,0.01
1355,0.01
1356,0.0
1359,0.02
1361,0.14
1362,0.36
1363,0.13487642869151453
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.17
1374,0.02
1375,0.01
1376,0.07
1379,0.01
1380,0.0
1383,0.024467795459348657
1387,0.06
1388,0.07
1389,0.0
1390,0.05
1394,0.03685714285714285
1396,0.051666666666666666
1397,0.01
1399,0.0
1400,0.5
1402,0.16
1403,0.03
1404,0.05
1405,0.17
1407,0.1
1409,0.0
1413,0.0
1415,0.02
1416,0.02
1418,0.0
1422,0.0
1423,0.01
1425,0.0
1428,0.0
1429,0.02
1430,0.024467795459348657
1431,0.07
1432,0.0
1434,0.0
1435,0.01
1436,0.27
1438,0.0
1443,0.07
1445,0.02
1446,0.06
1453,0.01
1456,0.01
1458,0.0
1459,0.01
1460,0.0
1461,0.26
1462,0.61
1463,0.0
1466,0.3110846585450166
1467,0.0
1469,0.11
1470,0.02
1471,0.3146499663906783
1473,0.04
1476,0.0
1477,0.02
1481,0.024467795459348657
1482,0.0
1485,0.07
1486,0.15
1490,0.02
1491,0.14392121767121768
1493,0.0
1494,0.02
1500,0.02
1504,0.02
1506,0.0
1509,0.01
1512,0.0
1514,0.03
1518,0.0
1520,0.0
1522,0.05
1525,0.2314174714174713
1526,0.0
1529,0.69
1530,0.0
1532,0.0
1533,0.0
1537,0.0
1542,0.03
1544,0.03
1545,0.08
1546,0.13487642869151453
1549,0.19
1551,0.0
1552,0.0
1555,0.0
1556,0.0
1558,0.0
1560,0.0
1561,0.08
1562,0.0
1563,0.0
1566,0.0
1568,0.0
1570,0.0
1575,0.01
1577,0.0
1579,0.0
1581,0.01
1582,0.22
1585,0.0
1586,0.01
1587,0.01
1593,0.0
1597,0.27
1599,0.01
1608,0.0
1609,0.024467795459348657
1612,0.062086441151447805
1615,0.0
1616,0.0
1618,0.01
1619,0.0
1624,0.0
1625,0.14
1627,0.0
1628,0.1
1635,0.0
1636,0.0
1637,0.01
1640,0.0
1642,0.0
1645,0.0
1647,0.0
1648,0.15
1650,0.01
1651,0.08
1653,0.01
1654,0.01
1655,0.01
1656,0.05
1657,0.0
1659,0.04
1661,0.1
1662,0.15
1663,0.19
1664,0.11
1671,0.0
1673,0.024467795459348657
1674,0.0
1678,0.06
1680,0.12
1682,0.04
1687,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.05
1696,0.04
1701,0.07
1702,0.04
1705,0.0
1707,0.0
1711,0.0
1714,0.02
1715,0.06
1716,0.0
1717,0.01
1719,0.0
1723,0.0
1725,0.0
1726,0.37
1728,0.0
1730,0.0
1731,0.0
1736,0.0
1742,0.3
1745,0.04
1747,0.31
1749,0.0
1750,0.29
1751,0.02
1752,0.0
1753,0.09
1754,0.0
1758,0.26
1759,0.0
1760,0.0
1761,0.0
1763,0.18
1765,0.09
1767,0.12
1768,0.0
1769,0.0
1774,0.02
1775,0.03
1776,0.0
1777,0.0
1779,0.01
1780,0.03
1783,0.0
1784,0.0
1785,0.0
1789,0.0
1790,0.02
1792,0.0
1793,0.0
1795,0.0
1796,0.02
1798,0.04
1802,0.02
1803,0.05
1805,0.0
1806,0.1
1809,0.01
1810,0.0
1812,0.01
1813,0.06
1814,0.13
1815,0.02
1817,0.03
1818,0.03
1819,0.0
1820,0.02
1821,0.21
1823,0.03
1826,0.01
1827,0.03
1829,0.18
1831,0.01
1833,0.14
1834,0.0
1837,0.0
1838,0.0
1839,0.01
1840,0.03
1841,0.01
1842,0.0
1844,0.05
1845,0.0
1846,0.0
1847,0.0
1850,0.0
1851,0.1
1852,0.0
1860,0.002857142857142857
1862,0.04
1864,0.21066271431557862
1865,0.0
1866,0.0
1867,0.03
1870,0.04
1871,0.0
1872,0.0
1873,0.0
1874,0.08
1876,0.05
1878,0.0
1879,0.23868608293226323
1884,0.0
1885,0.01
1888,0.0
1893,0.07
1897,0.002857142857142857
1901,0.0
1902,0.0
1903,0.0
1905,0.01
1907,0.0
1908,0.36
1919,0.03
1921,0.11
1926,0.0
1928,0.01
1930,0.11878843579133645
1933,0.02
1934,0.04
1935,0.06
1939,0.11
1940,0.0
1942,0.0
1943,0.0
1945,0.0
1946,0.01
1948,0.0
1949,0.0
1952,0.0
1953,0.01
1955,0.0
1959,0.06
1963,0.0
1965,0.0
1967,0.0
1968,0.07
1969,0.0
1970,0.01
1973,0.02
1977,0.2
1978,0.0
1979,0.0
1988,0.07
1991,0.0
1994,0.0
1996,0.0
1997,0.06
1998,0.0
2000,0.11
2002,0.04
2004,0.0
2007,0.05
2008,0.01
2010,0.0
2011,0.01
2012,0.06
2015,0.03
2018,0.0
2019,0.0
2023,0.0
2024,0.0
2026,0.0
2028,0.0
2029,0.0
2031,0.0
2033,0.003484848484848485
2034,0.16
2037,0.04666666666666666
2038,0.0
2039,0.01
2040,0.0
2042,0.0
2045,0.0
2048,0.02
2049,0.0
2050,0.05
2057,0.02
2061,0.0
2063,0.02
2067,0.02
2069,0.04
2070,0.01
2072,0.33
2073,0.12
2075,0.01
2076,0.16
2081,0.0
2082,0.07
2084,0.09
2085,0.18
2086,0.04162343883371418
2088,0.05
2092,0.01
2093,0.01
2094,0.0
2096,0.0
2102,0.0
2103,0.21266409508141898
2104,0.05
2108,0.14
2109,0.05
2111,0.05
2113,0.09
2116,0.02
2117,0.0
2118,0.03
2119,0.0
2120,0.0
2121,0.0
2124,0.2
2125,0.0
2126,0.0
2127,0.22
2131,0.0
2133,0.05
2134,0.04
2136,0.01
2137,0.0
2139,0.0
2144,0.0
2145,0.01
2146,0.06
2149,0.03
2150,0.0
2151,0.06
2152,0.0
2153,0.0
2157,0.13
2158,0.0
2159,0.0
2161,0.0
2163,0.0
2166,0.03
2169,0.0
2171,0.03
2177,0.0
2179,0.05
2182,0.0
2184,0.0
2185,0.0
2186,0.01
2187,0.0
2188,0.0
2189,0.01
2190,0.26109568144236656
2194,0.01
2195,0.0
2196,0.01
2198,0.08
2199,0.03
2200,0.0
2201,0.03
2203,0.02
2208,0.0
2209,0.0
2210,0.0
2211,0.0
2213,0.04
2214,0.0
2215,0.24
2216,0.0
2218,0.0
2222,0.0
2224,0.0
2229,0.0
2230,0.0
2234,0.04
2235,0.0
2237,0.0
2239,0.0
2241,0.03
2242,0.0
2243,0.01
2244,0.0
2245,0.0
2248,0.07
2251,0.0
2253,0.02
2254,0.0
2257,0.0
2261,0.02
2262,0.0
2266,0.0
2269,0.0
2275,0.01
2278,0.0
2279,0.0
2283,0.0
2284,0.0
2285,0.0
2286,0.0
2287,0.01
2289,0.1347561883681653
2290,0.05
2291,0.04162343883371418
2293,0.0
2300,0.04
2301,0.0
2302,0.19
2303,0.05
2304,0.0
2305,0.1
2306,0.0
2307,0.062086441151447805
2308,0.01
2311,0.0
2313,0.02
2315,0.0
2316,0.01
2318,0.38
2322,0.02
2323,0.0
2325,0.05
2327,0.0
2328,0.06
2329,0.03
2330,0.05
2332,0.0
2333,0.02
2334,0.02
2337,0.01
2338,0.07
2341,0.16
2344,0.01809188327607203
2345,0.0
2347,0.0
2348,0.0
2349,0.0
2350,0.0
2351,0.01
2358,0.01
2359,0.02
2361,0.0
2363,0.03
2364,0.01
2366,0.14
2369,0.0
2370,0.13
2373,0.13
2375,0.02
2377,0.05
2384,0.09651603556947468
2385,0.02
2386,0.03
2387,0.0
2388,0.1
2392,0.0
2393,0.1
2394,0.024467795459348657
2395,0.01
2396,0.01
2397,0.0
2400,0.024467795459348657
2401,0.06
2403,0.01
2407,0.22
2408,0.01
2410,0.0
2414,0.04
2416,0.15
2421,0.0
2422,0.01809188327607203
2423,0.1
2425,0.04
2430,0.06
2433,0.01
2434,0.02
2437,0.0
2438,0.0
2439,0.0
2440,0.0
2442,0.0
2444,0.03
2449,0.0
2456,0.0
2458,0.02
2462,0.01
2463,0.04
2464,0.0
2465,0.01
2466,0.01
2470,0.05714493614493614
2476,0.0
2478,0.0
2482,0.16
2483,0.0
2484,0.02
2487,0.0
2488,0.0
2493,0.0
2494,0.0
2495,0.09
2499,0.0013578062804068996
2501,0.11
2503,0.02
2504,0.0
2507,0.0
2509,0.0
2511,0.0
2512,0.34
2515,0.01
2516,0.01
2517,0.0
2521,0.07
2525,0.0
2527,0.08
2528,0.0
2529,0.04
2530,0.05
2531,0.08
2533,0.01
2537,0.0
2538,0.0
2539,0.02
2541,0.0
2542,0.1347561883681653
2543,0.02
2544,0.0
2545,0.0
2546,0.01
2548,0.0
2549,0.01
2555,0.0
2556,0.04
2558,0.01
2561,0.23
2563,0.03
2566,0.02
2567,0.0
2572,0.0
2573,0.01
2574,0.0
2578,0.0
2580,0.04
2581,0.0
2582,0.01
2586,0.05
2588,0.0
2589,0.06
2591,0.0
2594,0.0
2595,0.01
2596,0.03
2597,0.0
2599,0.0
2600,0.0
2601,0.06
2611,0.0
2613,0.0
2614,0.0
2615,0.0
2616,0.03
2617,0.016666666666666666
2618,0.0
2619,0.11
2626,0.01
2630,0.69
2632,0.01
2636,0.0
2639,0.0
2642,0.0
2644,0.43
2647,0.0
2648,0.18
2649,0.2
2651,0.01
2652,0.05
2656,0.0
2658,0.2
2664,0.04
2667,0.26
2669,0.13
2670,0.0
2671,0.04
2672,0.28
2673,0.0
2678,0.02
2679,0.0
2682,0.0
2684,0.0
2685,0.01
2687,0.0
2689,0.0
2700,0.0
2701,0.0
2702,0.0
2704,0.0
2707,0.0
2710,0.02
2713,0.04162343883371418
2715,0.05
2716,0.12
2724,0.0
2726,0.02
2727,0.0
2728,0.0
2730,0.0
2731,0.06
2733,0.03
2736,0.0
2737,0.0
2739,0.01
2740,0.0
2741,0.02
2745,0.05
2747,0.48
2749,0.04
2751,0.01
2752,0.04
2759,0.01
2760,0.0
2764,0.0
2766,0.0
2769,0.01
2772,0.26
2773,0.0
2774,0.01
2776,0.0
2779,0.0
2782,0.87
2783,0.0
2788,0.0
2789,0.02
2791,0.0
2793,0.02
2794,0.0
2796,0.03
2801,0.01
2803,0.06
2804,0.01
2805,0.0
2806,0.38
2808,0.01
2809,0.0
2812,0.0
2814,0.01
2815,0.0
2816,0.07
2817,0.021666666666666664
2819,0.01
2821,0.08
2822,0.02
2825,0.04
2827,0.0
2829,0.0
2830,0.02
2831,0.0
2833,0.0
2838,0.05
2839,0.08
2843,0.01
2845,0.0
2849,0.02
2850,0.0
2852,0.02
2859,0.0
2861,0.0
2862,0.02
2863,0.03
2865,0.02
2866,0.04
2867,0.0
2869,0.02
2871,0.0
2872,0.0
2873,0.14
2874,0.0
2876,0.0
2877,0.0
2880,0.13
2881,0.0
2882,0.01
2885,0.04
2886,0.02
2888,0.03
2889,0.04
2891,0.01
2892,0.0
2893,0.27625509501752926
2897,0.08
2898,0.0
2899,0.0
2901,0.0
2903,0.126
2904,0.03
2905,0.12
2906,0.04
2908,0.0
2910,0.23
2913,0.0
2914,0.0
2915,0.0
2917,0.0
2918,0.01
2919,0.11707725504629522
2920,0.14
2921,0.0
2922,0.02
2925,0.005333333333333333
2926,0.02
2927,0.0
2928,0.08
2929,0.0
2930,0.01
2936,0.0
2944,0.0
2949,0.0
2950,0.0
2951,0.01
2952,0.0
2955,0.0
2957,0.01
2959,0.01
2960,0.0
2961,0.04
2963,0.02
2966,0.0
2967,0.0
2968,0.0
2969,0.04
2970,0.06
2972,0.08
2973,0.02
2974,0.01
2975,0.07
2976,0.04
2980,0.0
2983,0.062086441151447805
2984,0.15
2986,0.04
2988,0.04
2989,0.01
2990,0.01
